SC,SN,EC,SM,SG,TK,LS,CD,NS,TS,ISIN,SR,SI
03D001,11.10% GOI LOAN 07/04/2003,BSE,03D001,EQUITY,800078,1,03D001,03D001,0,INY019980013,DR,CG1110S9803
3.00E+01,GOI LOAN 5.75% 2003,BSE,3.00E+01,EQUITY,800004,1,3.00E+01,3.00E+01,0,IN0019730012,DR,CG0575S7303
3.00E+02,GOI LOAN 11% 2003,BSE,3.00E+02,EQUITY,800032,1,3.00E+02,3.00E+02,0,IN0019880023,DR,CG1100S8803
04C001,12.50% GOI LOAN 23/03/2004,BSE,04C001,EQUITY,800049,1,04C001,04C001,0,INY019930083,DR,CG1250S9404
4.00E+01,11.50% GOI LOAN 09/05/2004,BSE,4.00E+01,EQUITY,800081,1,4.00E+01,4.00E+01,0,INY019980054,DR,CG1150S9804
4.00E+02,GOI LOAN 12.35% 2004,BSE,4.00E+02,EQUITY,800051,1,4.00E+02,4.00E+02,0,INY019940025,DR,CG1235S9404
04F001,GOI LOAN 6.50% 2004,BSE,04F001,EQUITY,800007,1,04F001,04F001,0,IN0019770026,DR,CG0650S7704
04F002,GOI LOAN 12.59% 2004,BSE,04F002,EQUITY,800070,1,04F002,04F002,0,INY019970063,DR,CG1259S9704
04I001,11.98% GOI LOAN 08/09/2004,BSE,04I001,EQUITY,800093,1,04I001,04I001,0,INY019980211,DR,CG1198S9804
04J001,GOI LOAN 11.30% 2004,BSE,04J001,EQUITY,800029,1,04J001,04J001,0,IN0019860090,DR,CG1130S8604
05D001,9.90% GOI LOAN 22/04/2005,BSE,05D001,EQUITY,800103,1,05D001,05D001,0,INY020000017,DR,CG0990S0005
5.00E+01,GOI LOAN 13.75% 2005,BSE,5.00E+01,EQUITY,800055,1,5.00E+01,5.00E+01,0,INY019950024,DR,CG1375S9505
05F001,14.00% GOI LOAN 08/06/2005,BSE,05F001,EQUITY,800057,1,05F001,05F001,0,INY019950040,DR,CG1400S9505
05F002,GOI LOAN 11.25% 2005,BSE,05F002,EQUITY,800036,1,05F002,05F002,0,IN0019900037,DR,CG1125S9005
05H001,11.19% GOI LOAN 12/08/2005,BSE,05H001,EQUITY,800073,1,05H001,05H001,0,INY019970097,DR,CG1119S9705
05I001,GOI LOAN 14% 2005,BSE,05I001,EQUITY,800058,1,05I001,05I001,0,INY019954018,DR,CG1400A9505
05J001,GOI LOAN 6.50% 2005,BSE,05J001,EQUITY,800008,1,05J001,05J001,0,IN0019770059,DR,CG0650S7705
05J002,GOI LOAN 8.25% 2005,BSE,05J002,EQUITY,800018,1,05J002,05J002,0,IN0019820086,DR,CG0825S8205
06C001,GOI LOAN 14% 2006,BSE,06C001,EQUITY,800060,1,06C001,06C001,0,INY019950164,DR,CG1400S9606
06D001,GOI LOAN 11.68% 2006,BSE,06D001,EQUITY,800100,1,06D001,06D001,0,INY019990038,DR,CG1168S9906
6.00E+01,GOI LOAN 6.75% 2006,BSE,6.00E+01,EQUITY,800009,1,6.00E+01,6.00E+01,0,IN0019780025,DR,CG0675S7806
6.00E+02,GOI LOAN 11.50% 2006,BSE,6.00E+02,EQUITY,800028,1,6.00E+02,6.00E+02,0,IN0019860033,DR,CG1150S8606
06F001,13.85% GOI LOAN 24/06/2006,BSE,06F001,EQUITY,800063,1,06F001,06F001,0,INY019964017,DR,CG1385S9606
06G001,11.00% GOI LOAN 28/07/2006,BSE,06G001,EQUITY,800109,1,06G001,06G001,0,INY020000074,DR,CG1100S0006
06H001,13.85% GOI LOAN 26/08/2006,BSE,06H001,EQUITY,800064,1,06H001,06H001,0,INY019960056,DR,CG1385A9606
07B001,13.65% GOI LOAN 21/02/2007,BSE,07B001,EQUITY,800067,1,07B001,07B001,0,INY019960098,DR,CG1365S9707
07C001,12.50% GOI LOAN 25/03/2007,BSE,07C001,EQUITY,800044,1,07C001,07C001,0,INY019910192,DR,CG1250S9207
07D001,GOI LOAN 13.05% 2007,BSE,07D001,EQUITY,800068,1,07D001,07D001,0,INY019970014,DR,CG1305S9707
7.00E+01,11.90% GOI LOAN 28/05/2007,BSE,7.00E+01,EQUITY,800082,1,7.00E+01,7.00E+01,0,INY019980062,DR,CG1190S9807
07J001,GOI LOAN 11.50% 2007,BSE,07J001,EQUITY,800031,1,07J001,07J001,0,IN0019870073,DR,CG1150S8707
07K001,GOI LOAN 6.75% 2007,BSE,07K001,EQUITY,800011,1,07K001,07K001,0,IN0019780074,DR,CG0675S7807
08B001,GOI LOAN 9.50% 2008,BSE,08B001,EQUITY,800021,1,08B001,08B001,0,IN0019830143,DR,CG0950S8408
8.00E+01,12.00% GOI LOAN 02/05/2008,BSE,8.00E+01,EQUITY,800080,1,8.00E+01,8.00E+01,0,INY019980047,DR,CG1200S9808
08F001,12.10% GOI LOAN 19/06/2008,BSE,08F001,EQUITY,800084,1,08F001,08F001,0,INY019980096,DR,CG1210S9808
08G001,12.22% GOI LOAN 24/07/2008,BSE,08G001,EQUITY,800089,1,08G001,08G001,0,INY019980153,DR,CG1222S9808
08H001,11.40% GOI LOAN 31/08/2008,BSE,08H001,EQUITY,800112,1,08H001,08H001,0,INY020000108,DR,CG1140S0008
08I001,12.25% GOI LOAN 08/09/2008,BSE,08I001,EQUITY,800094,1,08I001,08I001,0,INY019980229,DR,CG1225S9808
09D001,11.99% GOI LOAN 07/04/2009,BSE,09D001,EQUITY,800099,1,09D001,09D001,0,INY019990012,DR,CG1199S9909
09D002,6.65% GOI LOAN 05/04/2009,BSE,09D002,EQUITY,800130,1,09D002,09D002,0,INY020020015,DR,CG0665S0209
9.00E+01,GOI LOAN 7% 2009,BSE,9.00E+01,EQUITY,800012,1,9.00E+01,9.00E+01,0,IN0019790024,DR,CG0700S7909
9.00E+02,GOI LOAN 11.50% 2009,BSE,9.00E+02,EQUITY,800035,1,9.00E+02,9.00E+02,0,IN0019890030,DR,CG1150S8909
0GSC28,GSEC STRIP 19MR28,BSE,0GSC28,EQUITY,800499,1,0GSC28,GS19MAR2028,0.01,IN000328C046,DR,GS19MAR2028
0GSC31,GSEC STRIP 19MR31,BSE,0GSC31,EQUITY,800505,1,0GSC31,0GSC31,0.01,IN000331C040,DR,GS19MAR2031
0GSC32,GSEC STRIP 19MR32,BSE,0GSC32,EQUITY,800509,1,0GSC32,0GSC32,0.01,IN000332C048,DR,GS19MAR2032
0GSD35,GSEC STRIP 22AR35,BSE,0GSD35,EQUITY,800674,1,0GSD35,GS22APR35C,0.01,IN000435C031,DR,GS22APR35C
0GSF28,GSEC STRIP 17JU28,BSE,0GSF28,EQUITY,800416,1,0GSF28,GS17JUN28C,0.01,IN000628C031,DR,GS17JUN28C
0GSI26,GSEC STRIP 19SP26,BSE,0GSI26,EQUITY,800496,1,0GSI26,GS19SEP2026,0.01,IN000926C047,DR,GS19SEP2026
